Date;Open;High;Low;Close;Volume
2024.03.11 12:00;2180.57;2185.16;2174.72;2181.82;35114
2024.03.11 16:00;2181.85;2185.77;2175.49;2179.56;39667
2024.03.11 20:00;2179.61;2184.2;2177.12;2182.56;13063
2024.03.12 00:00;2181.74;2184.76;2179.93;2182.71;12150
2024.03.12 04:00;2182.7;2182.93;2174.28;2176.22;15172
2024.03.12 08:00;2176.19;2179.13;2173.56;2176.98;22537
2024.03.12 12:00;2176.98;2182.01;2156.21;2160.36;20217
2024.03.12 16:00;2160.49;2166.45;2152.61;2154.95;17631
2024.03.12 20:00;2154.97;2158.97;2150.5;2158.57;6328
2024.03.13 00:00;2158.26;2161.39;2155.72;2158.5;7209
2024.03.13 04:00;2158.55;2161.55;2157.24;2160.06;6213
2024.03.13 08:00;2160.06;2161.45;2157.55;2158.5;9655
2024.03.13 12:00;2158.5;2171.58;2158.1;2166.1;14978
2024.03.13 16:00;2166.07;2179.85;2163.58;2174.53;18325
2024.03.13 20:00;2174.53;2176.54;2171.75;2174.5;5702
2024.03.14 00:00;2173.97;2176.97;2173.02;2174.71;5816
2024.03.14 04:00;2174.71;2175.4;2168.61;2168.81;6856
2024.03.14 08:00;2168.86;2172.02;2167.42;2170;9400
2024.03.14 12:00;2169.98;2170.86;2158.53;2162.45;17280
2024.03.14 16:00;2162.54;2164.99;2152.75;2160.24;17612
2024.03.14 20:00;2160.2;2163.87;2160.18;2161.7;4557
2024.03.15 00:00;2162.22;2165.95;2160.57;2162.57;5171
2024.03.15 04:00;2162.57;2169.18;2161.57;2169.06;6276
2024.03.15 08:00;2169.15;2172.71;2165.3;2171.85;10776
2024.03.15 12:00;2171.85;2172.66;2156.51;2160.04;15402
2024.03.15 16:00;2159.49;2166.58;2155.17;2156.79;16825
2024.03.15 20:00;2156.79;2160.25;2155.35;2156.08;4244
2024.03.18 00:00;2154.24;2157.44;2150.13;2152.27;6660
2024.03.18 04:00;2152.27;2153.42;2146.08;2146.97;6812
2024.03.18 08:00;2146.97;2155.89;2146.67;2154.78;9340
2024.03.18 12:00;2154.78;2163.58;2154.54;2156.74;13972
2024.03.18 16:00;2156.69;2161.35;2154.58;2159.96;13465
2024.03.18 20:00;2159.86;2160.98;2159.14;2160.1;3439
2024.03.19 00:00;2159.78;2162.77;2158.58;2160.48;5270
2024.03.19 04:00;2160.48;2162.77;2157.07;2157.64;8213
2024.03.19 08:00;2157.6;2157.8;2147.14;2153.21;13382
2024.03.19 12:00;2153.21;2158.67;2150.42;2151.17;15162
2024.03.19 16:00;2151.25;2157.35;2148.42;2156.91;13829
2024.03.19 20:00;2156.91;2158.47;2155.48;2157.57;3525
2024.03.20 00:00;2157.54;2160.03;2155.12;2158.64;4530
2024.03.20 04:00;2158.64;2160.21;2156.57;2157.44;4134
2024.03.20 08:00;2157.42;2159.52;2153.17;2154.74;8597
2024.03.20 12:00;2154.74;2158.67;2149.61;2157.91;12728
2024.03.20 16:00;2157.95;2164.86;2154.68;2156.97;13872
2024.03.20 20:00;2161.74;2188.77;2158.86;2185.57;18838
2024.03.21 00:00;2187.74;2222.65;2186.52;2204.78;17349
2024.03.21 04:00;2204.78;2206.33;2201.75;2204.9;9162
2024.03.21 08:00;2204.87;2210.17;2196.88;2205.43;16767
2024.03.21 12:00;2205.43;2211.72;2191.59;2191.81;20101
2024.03.21 16:00;2191.22;2191.92;2166.43;2180.86;22815
2024.03.21 20:00;2180.86;2183.97;2180.35;2181.06;4698
2024.03.22 00:00;2182.02;2186.03;2172.7;2173.48;8313
2024.03.22 04:00;2173.48;2177.1;2171.84;2174.24;10926
2024.03.22 08:00;2174.22;2176.32;2162.6;2166.66;15218
2024.03.22 12:00;2166.66;2180.09;2165.25;2178.07;17614
